city,voivodeship_name,latitude,longitude,source_name
IGOŁOMIA,MAŁOPOLSKIE,50.0910823,20.2439888,nominatim
MUSZYNA,MAŁOPOLSKIE,49.3561684,20.8967477,nominatim
JURKÓW,MAŁOPOLSKIE,49.6845649,20.2338371,nominatim
WYSOWA,MAŁOPOLSKIE,49.4282256,21.2030094,nominatim
BRZEŹNICA,MAŁOPOLSKIE,49.9583939,20.4765671,nominatim
LIPNICA WIELKA,MAŁOPOLSKIE,49.4849727,19.6292186,nominatim
RADŁÓW,MAŁOPOLSKIE,50.0830887,20.8476617,nominatim
WAŁ,MAŁOPOLSKIE,49.8846862,20.9103551,nominatim
SKAŁA,MAŁOPOLSKIE,50.2303769,19.8535370,nominatim
SIEPRAW,MAŁOPOLSKIE,49.9087175,19.9686151,nominatim
ZĄB,MAŁOPOLSKIE,49.3361203,19.9481892,nominatim
WIERZCHOSŁAWICE,MAŁOPOLSKIE,50.0274989,20.8593482,nominatim
RZUCHOWA,MAŁOPOLSKIE,49.9519826,20.9314045,nominatim
BORZĘCIN,MAŁOPOLSKIE,50.0753801,20.7031272,nominatim
OSIEK,MAŁOPOLSKIE,49.9443820,19.2787097,nominatim
KASINKA MAŁA,MAŁOPOLSKIE,49.7024609,20.0370039,nominatim
MĘDRZECHÓW,MAŁOPOLSKIE,50.2817162,20.9472878,nominatim
BRZEZÓWKA,MAŁOPOLSKIE,50.2674678,21.0920824,nominatim
STRYSZAWA,MAŁOPOLSKIE,49.7135310,19.5206116,nominatim
KAMIONKA WIELKA,MAŁOPOLSKIE,49.5786884,20.7900330,nominatim
PRZYSZOWA,MAŁOPOLSKIE,49.6412253,20.5041741,nominatim
CIĘŻKOWICE,MAŁOPOLSKIE,49.7864640,20.9737542,nominatim
SUCHA BESKIDZKA,MAŁOPOLSKIE,49.7407900,19.5905975,nominatim
PCIM,MAŁOPOLSKIE,49.7519944,19.9667908,nominatim
ROŻNÓW,MAŁOPOLSKIE,49.7755401,20.7020173,nominatim
OLESNO,MAŁOPOLSKIE,50.2026982,20.9255009,nominatim
JANKOWICE,MAŁOPOLSKIE,50.1941076,20.5560882,nominatim
GROJEC,MAŁOPOLSKIE,49.9799303,19.2350380,nominatim
PIELGRZYMOWICE,MAŁOPOLSKIE,50.1498721,20.0507340,nominatim
MSZANKA,MAŁOPOLSKIE,49.6349060,20.1452341,nominatim
WOLA RZĘDZIŃSKA,MAŁOPOLSKIE,50.0372232,21.0643940,nominatim
NOWY SĄCZ,MAŁOPOLSKIE,49.6249173,20.6913460,nominatim
CZERNICHÓW,MAŁOPOLSKIE,49.9871154,19.6761974,nominatim
KORZKIEW,MAŁOPOLSKIE,50.1625137,19.8838170,nominatim
UŚCIE SOLNE,MAŁOPOLSKIE,50.1192650,20.5146666,nominatim
MSZANA DOLNA,MAŁOPOLSKIE,49.6779756,20.0820073,nominatim
OŚWIĘCIM,MAŁOPOLSKIE,50.0336707,19.2600798,nominatim
PRZYBYSŁAWICE,MAŁOPOLSKIE,50.3785205,19.8829526,nominatim
SZERZYNY,MAŁOPOLSKIE,49.8088632,21.2451169,nominatim
